ID,X,MolWt_X,LogP_X,NumHDonors_X,NumHAcceptors_X,TPSA_X
DB00245,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,307.437,4.4178,0,2,12.47
DB09300,CCCC[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,360.474,2.233,1,4,59.06
DB00483,[I-].[I-].[I-].CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC,891.54,-3.5355,0,3,27.69
DB00804,CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,309.494,4.4022,0,3,29.54
DB00496,NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,426.56,3.9575,1,3,55.56
DB00732,[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C1=CC=CC=C1.COC1=CC2=C(C=C1OC)C(CC1=CC(OC)=C(OC)C=C1)[N+](C)(CCC(=O)OCCCCCOC(=O)CC[N+]1(C)CCC3=C(C=C(OC)C(OC)=C3)C1CC1=CC(OC)=C(OC)C=C1)CC2,1243.501,9.2469,0,18,240.84
DB00392,CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12,312.482,5.0196,0,3,6.48
DB00810,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1,311.469,3.9624,1,2,23.47
DB00747,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,303.358,0.9181,1,5,62.3
DB00979,CN(C)CCOC(=O)C(C1=CC=CC=C1)C1(O)CCCC1,291.391,2.1801,1,4,49.77
DB00940,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12,340.443,3.9538,0,3,35.53
DB00209,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,392.519,3.7697,1,3,46.53
DB01199,[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CCN1C)C2=C6)=C(O)C=C5)=CC(OC)=C4O)C=C3,609.743,6.701,2,7,80.62
DB00572,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1,289.375,1.9309,1,4,49.77
DB00908,[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1,324.424,3.1732,1,4,45.59
DB00462,[Br-].[H][C@]12C[C@@H](C[C@@]([H])(C3OC13)[N+]2(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1,398.297,-1.9333,1,4,59.06
DB01062,CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,357.494,3.3429,1,4,49.77
DB00967,ClC1=CC2=C(C=C1)C(=C1CCNCC1)C1=C(CC2)C=CC=N1,310.828,4.0189,1,2,24.92
DB09275,[K+].[K+].[K+].[K+].[K+].[Bi+3].[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O.[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O,780.652,-27.13,0,14,286.9
DB03754,NC(CO)(CO)CO,121.136,-2.3392,4,4,86.71
DB01370,[Al],26.982,-0.3808,0,0,0
DB09104,[OH-].[OH-].[Mg++],58.319,-0.7344,0,2,60
DB06724,[Ca++].[O-]C([O-])=O,100.086,-2.8278,0,3,63.19
DB06723,[OH-].[OH-].[OH-].[Al+3],78.003,-0.9112,0,3,90
DB13595,O.[Mg++].[Al+3].[Al+3].[O-][Si]([O-])([O-])[O-].[O-][Si]([O-])([O-])[O-],280.448,-12.2407,0,8,215.98
DB09281,[Mg++].[Mg++].[O-][Si](=O)O[Si]([O-])([O-])O[Si]([O-])=O,260.86,-7.0344,0,8,144.84
DB01377,[O--].[Mg++],40.304,-0.4996,0,0,28.5
DB01390,[Na+].OC([O-])=O,84.006,-4.1083,1,2,60.36
DB08938,O.[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O,1115.318,-14.6935,0,39,1122.02
DB00415,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,349.412,0.3181,3,5,112.73
DB00615,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(=O)C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1NC3(CCN(CC3)CC(C)C)N=C21,847.019,4.61572,5,14,205.55
DB00252,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,252.273,1.7696,2,2,58.2
DB01154,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,254.355,1.516,2,3,58.2
DB01045,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(\C=N\N4CCN(C)CC4)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C,822.953,4.33542,6,15,220.15
DB01320,OP(O)(=O)OCN1C(=O)NC(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1,362.278,1.5488,3,4,116.17
DB00564,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,236.274,3.3872,1,1,46.33
DB00607,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(OCC)C=CC2=CC=CC=C12)C(O)=O,414.483,2.4838,2,5,95.94
DB00794,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,218.256,0.5379,2,2,58.2
DB01174,CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,232.239,0.7004,2,3,75.27
DB00312,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,226.276,1.185,2,3,75.27
DB00238,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,266.304,2.65122,1,4,58.12
DB01201,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N1CCN(CC1)C1CCCC1)=C2O,877.045,5.64822,6,15,220.15
DB00673,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,534.432,4.9521,2,5,83.24
DB00849,CCC1(C(=O)NC(=O)N(C)C1=O)C1=CC=CC=C1,246.266,1.0426,1,3,66.48
DB01351,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,226.276,1.185,2,3,75.27
DB00418,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,238.287,1.3511,2,3,75.27
DB01220,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C)C(O)=C4C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C1=C(N=C5C=C(C)C=CN15)C4=C3C2=O,785.891,6.15784,5,13,198.38
DB00165,CC1=C(O)C(CO)=C(CO)C=N1,169.18,0.08022,3,4,73.58
DB00559,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,551.625,4.2039,2,10,145.65
DB00474,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O,262.309,1.3066,1,3,66.48
DB09280,CC1=CC=C(NC(=O)C2(CC2)C2=CC=C3OC(F)(F)OC3=C2)N=C1C1=CC(=CC=C1)C(O)=O,452.413,4.74702,2,5,97.75
DB00400,COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC,352.77,2.8103,0,6,71.06
DB01355,CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1,236.271,1.2013,1,3,66.48
DB00599,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,242.344,1.3499,2,3,58.2
DB01437,CCC1(CCC(=O)NC1=O)C1=CC=CC=C1,217.268,1.771,1,2,46.17
DB00451,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,776.872,4.5573,3,4,92.78
DB01601,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1,628.814,4.32814,4,5,120
DB00705,CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2,456.572,2.7171,3,6,110.43
DB01583,[Na+].[Na+].N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O.N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C([O-])=O,1471.812,-0.1514,4,10,191.22
DB00279,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,650.976,3.9527,3,4,92.78
DB00590,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1,451.483,1.7178,1,9,112.27
DB00421,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O,416.583,4.8523,0,5,60.44
DB00706,CCOC1=CC=CC=C1OCCN[C@H](C)CC1=CC(=C(OC)C=C1)S(N)(=O)=O,408.52,2.3409,2,6,99.88
DB01162,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1CCCO1,387.44,1.0568,1,8,103.04
DB06207,C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F,495.542,3.0711,3,6,97.05
DB00457,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1,383.408,1.7846,1,8,106.95
DB00346,COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N(C)CCCNC(=O)C1CCCO1,389.456,1.3507,2,8,111.83
DB00598,CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,328.412,2.1354,4,4,95.58
DB01136,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2,406.482,3.738,3,5,75.74
DB01069,CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C,284.428,4.2394,0,3,6.48
DB06605,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O,459.506,2.6996,1,6,110.76
DB00682,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,308.333,3.6096,1,4,67.51
DB00975,OCCN(CCO)C1=NC2=C(N=C(N=C2N2CCCCC2)N(CCO)CCO)C(=N1)N1CCCCC1,504.636,-0.0176,4,12,145.44
DB00244,NC1=CC(C(O)=O)=C(O)C=C1,153.137,0.6726,3,3,83.55
DB06228,ClC1=CC=C(S1)C(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(C=C1)N1CCOCC1=O,435.889,2.5199,1,6,88.18
DB00946,CCC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,280.323,4.0405,1,3,50.44
DB00278,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2,508.645,0.91257,6,6,177.71
DB00006,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,2180.317,-8.11643,28,29,901.57
DB00498,O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1,222.243,2.8494,0,2,34.14
DB06695,CCCCCCOC(=O)\N=C(\N)C1=CC=C(NCC2=NC3=C(C=CC(=C3)C(=O)N(CCC(=O)OCC)C3=NC=CC=C3)N2C)C=C1,627.746,5.6026,2,9,154.03
DB09075,CN(C)C(=O)[C@H]1CC[C@H](NC(=O)C(=O)NC2=NC=C(Cl)C=C2)[C@@H](C1)NC(=O)C1=NC2=C(CN(C)CC2)S1,548.069,1.2896,3,8,136.63
DB01418,CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O,353.33,3.5178,1,6,110.65
DB00266,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2,336.299,2.9014,2,6,100.88
DB00974,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,292.244,-2.0712,4,6,155.68
DB06441,CSCCNC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)C(Cl)(Cl)P(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC(SCCC(F)(F)F)=N1,776.366,2.8505,7,15,255.91
DB00208,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,263.793,3.9598,0,2,3.24
DB00569,CO[C@H]1O[C@H](COS(O)(=O)=O)[C@@H](O[C@@H]2O[C@H]([C@@H](O[C@H]3O[C@H](COS(O)(=O)=O)[C@@H](O[C@@H]4O[C@@H]([C@@H](O[C@H]5O[C@H](COS(O)(=O)=O)[C@@H](O)[C@H](O)[C@H]5NS(O)(=O)=O)[C@H](O)[C@H]4O)C(O)=O)[C@H](OS(O)(=O)=O)[C@H]3NS(O)(=O)=O)[C@H](O)[C@H]2OS(O)(=O)=O)C(O)=O)[C@H](O)[C@H]1NS(O)(=O)=O,1508.273,-13.7501,19,39,805.48
DB08994,OCCN(CCO)C1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1,324.38,2.7996,2,5,69.73
DB06154,[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,316.135,-1.194,0,12,209.48
DB04898,CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCC1=CC=C(C=C1)C(\N)=N\O)C1CCCCC1,473.574,1.0998,4,7,146.35
DB00775,CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O,440.606,2.9505,3,5,104.73
DB12598,NC(=N)NC1=CC=C(C=C1)C(=O)OC1=CC2=C(C=C1)C=C(C=C2)C(N)=N,347.378,2.64844,5,4,138.07
DB08814,CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O,248.156,2.3289,1,3,63.6
DB04272,OC(=O)CC(O)(CC(O)=O)C(O)=O,192.123,-1.2485,4,4,132.13
DB00412,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,357.435,2.4909,1,6,71.53
DB00261,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,256.092,1.9263,1,3,44.7
DB04743,CS(=O)(=O)NC1=C(OC2=CC=CC=C2)C=C(C=C1)[N+]([O-])=O,308.315,2.7586,1,5,98.54
DB00686,O[C@@H]1CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(O)(=O)=O)[C@H]2OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@H]1OS(O)(=O)=O,602.501,-4.8106,6,17,322.55
DB11079,OCCN(CCO)CCO.OC(=O)C1=CC=CC=C1O,287.312,-0.6443,5,6,121.46
DB11268,[H]C(=O)C1=CC(O)=C(O)C=C1,138.122,0.9103,2,3,57.53
DB08816,CCCSC1=NC2=C(N=NN2[C@@H]2C[C@H](OCCO)[C@@H](O)[C@H]2O)C(N[C@@H]2C[C@H]2C2=CC(F)=C(F)C=C2)=N1,522.578,2.0137,4,11,138.44
DB00758,[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl,321.829,3.6739,0,4,29.54
DB11362,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)C1=NC(C2=CC=CC=C2)=C(N=C1)C1=CC=CC=C1,496.633,3.898,1,7,101.49
DB09030,[H][C@@]12C[C@]3([H])C[C@@H](CC[C@@]3([H])[C@H](\C=C\C3=CC=C(C=N3)C3=CC(F)=CC=C3)[C@]1([H])[C@@H](C)OC2=O)NC(=O)OCC,492.591,5.6295,1,5,77.52
DB06209,CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1,373.449,3.891,0,5,46.61
DB01166,O=C1CCC2=C(N1)C=CC(OCCCCC1=NN=NN1C1CCCCC1)=C2,369.469,3.4647,1,6,81.93
DB00945,CC(=O)OC1=CC=CC=C1C(O)=O,180.159,1.3101,1,3,63.6
DB09543,COC(=O)C1=CC=CC=C1O,152.149,1.1788,1,3,46.53
DB01240,[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)CCCCC)[C@@]1([H])C\C(O2)=C\CCCC(O)=O,352.471,3.4085,3,4,86.99
DB01014,OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O,357.322,2.7103,4,6,148.65
DB01250,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(O)C(=C1)C(O)=O,302.242,2.9096,4,6,139.78
DB00233,NC1=CC(O)=C(C=C1)C(O)=O,153.137,0.6726,3,3,83.55
DB00861,OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1,250.2,3.0356,2,2,57.53
DB08887,CCOC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,330.512,6.4712,0,2,26.3
DB00235,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,211.224,1.617,1,3,69.54
DB00751,NC1=NCC2N1C1=CC=CC=C1CC1=CC=CC=C21,249.317,2.4668,1,3,41.62
DB01207,OC(=O)CCCCO\N=C(\C1=CN=CC=C1)C1=CC(=CC=C1)C(F)(F)F,366.339,4.1243,1,4,71.78
DB00972,CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O,381.907,4.2975,0,4,38.13
DB01088,[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)C(C)CC#CC)[C@@]1([H])C\C(C2)=C\CCCC(O)=O,360.494,3.5413,3,3,77.76
DB07615,COC1=CC=C(\C=C\C(=O)NC2=CC=CC=C2C(O)=O)C=C1OC,327.336,3.0539,2,4,84.86
DB00770,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,354.487,3.4751,3,4,94.83
DB01236,FCOC(C(F)(F)F)C(F)(F)F,200.053,2.4232,0,1,9.23
DB09283,CCN(CC)C1=CC(C)=NC2=NC=NN12,205.265,1.27892,0,5,46.32
DB00806,CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,278.312,0.193,0,7,78.89
DB02709,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1,228.247,2.9738,3,3,60.69
DB05266,CC(C)C(=O)C1=C2C=CC=CN2N=C1C(C)C,230.311,3.2964,0,3,34.37
DB08954,CC(C(O)C1=CC=C(O)C=C1)N1CCC(CC2=CC=CC=C2)CC1,325.452,3.7688,2,3,43.7
DB00958,[H][N]([H])([H])[Pt]1(OC(=O)C2(CCC2)C(=O)O1)[N]([H])([H])[H],371.25,0.4932,2,6,106.2
DB00903,CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC(O)=O)C=C1,303.141,3.6057,1,3,63.6
DB00230,CC(C)C[C@H](CN)CC(O)=O,159.229,1.0821,2,2,63.32
DB01037,C[C@H](CC1=CC=CC=C1)N(C)CC#C,187.286,2.1826,0,1,3.24
DB09270,COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O,863.365,17.8539,0,4,52.6
DB00805,CC1=CC(=NN=C1NCCN1CCOCC1)C1=CC=CC=C1,298.39,2.19612,1,5,50.28
